coenti;ramos;UF; premio_dir ;Filtro
2798;196;PR;29.552,60;S
2798;310;PR;659.772,90;S
2798;313;SP;206.490,90;S
2798;327;AC;35.002,60;S
2798;351;SP;1.012.881,80;S
2798;378;SP;1.135.040,60;S
2798;621;SP;839.104,20;S
2798;622;SP;497.474,20;S
2798;654;SP;782.417,30;S
2798;655;SP;447.922,70;S
2798;656;PA;40.226,20;S
2798;775;BA;542.954,70;S
2798;776;PR;24.482,60;S
2801;929;RS;31.799,20;S
2801;977;RS;89.379,90;S
2801;982;RS;138.592,40;S
2801;993;MG;894.098,30;S
2852;118;SP;116.902,40;S
2852;141;SP;103.701,00;S
2852;167;SP;120.024,40;S
2852;171;MG;130.333,10;S
2852;195;SP;6.201.074,50;S
2852;196;BA;1.498.420,20;S
2852;310;SP;105.931,30;S
2852;327;SP;13.574,90;S
2852;351;SP;2.081.880,10;S
2852;378;SP;1.815.369,00;S
2852;621;SP;6.952.998,60;S
2852;622;SP;1.977.356,40;S
2852;644;SP;84.698,20;S
2852;654;SP;2.190.009,30;S
2852;655;SP;1.190.215,80;S
2852;656;SP;13.857,70;S
2852;658;SP;37.954,00;S
2852;743;SP;62.495,40;S
2852;775;SP;1.485.550,80;S
2852;776;SP;25.463,20;S
2852;969;SP;2.469.147,50;S
2852;982;MG;104.669,80;S
2852;993;SP;594.962,90;S
2852;1162;SP;331.932,50;S
2852;1528;SP;204.691,00;S
2852;1535;SP;756.433,60;S
2852;1597;SP;109.304,60;S
2852;1601;SP;113.124,00;S
2895;929;ES;63.287,50;S
2895;977;SP;628.747,00;S
2895;982;ES;191.810,70;S
2895;987;ES;15.121,40;S
2895;993;SP;386.486,20;S
2895;994;SP;26.411,40;S
2895;1329;SP;17.789,10;S
2895;1369;ES;354.551,10;S
2895;1377;PR;158.289,90;S
2895;1381;MG;26.594,00;S
2895;1392;MG;507.369,60;S
2895;1601;SP;13.495,50;S
2933;114;SP;239.155,10;S
2933;115;SP;719.643,90;S
2933;171;SP;10.859.425,20;S
2933;195;SP;11.550.792,60;S
2933;531;SP;3.065.352,30;S
2933;542;RS;82.800,70;S
2933;746;SP;415.565,00;S
2933;1602;RS;593.927,30;S
2950;114;PR;557.042,80;S
2950;118;PR;256.012,80;S
2950;196;PR;158.899,00;S
2950;520;PR;13.327,90;S
2950;531;PR;2.947.444,70;S
2950;553;PR;2.380.835,60;S
2950;977;PR;1.448.026,10;S
2950;993;PR;700.660,50;S
2950;1101;PR;5.626.213,60;S
2950;1198;PR;69.820,70;S
2950;1329;PR;15.759,40;S
2950;1369;PR;1.875.381,70;S
2950;1381;PR;46.208,80;S
2950;1384;PR;276.212,40;S
2950;1391;PR;380.456,40;S
2968;195;MT;2.019.931,90;S
2968;977;RJ;120.890,80;S
2968;1377;MT;134.755,20;S
2968;1390;MT;155.127,20;S
2968;1601;SC;144.614,90;S
2968;1602;PR;12.794,90;S
3069;167;MA;28.697,80;S
3069;171;MG;78.226,90;S
3069;195;MG;104.428,00;S
3069;196;SP;25.679,90;S
3069;746;SP;522.434,80;S
3069;775;SP;4.345.389,30;S
3069;776;MG;888.885,90;S
3069;1130;SP;855.865,00;S
3069;1162;AL;392.690,40;S
3069;1391;MG;17.260,20;S
3069;1535;RJ;78.340,70;S
3069;1537;PE;62.475,00;S
3093;588;SP;17.497.774,50;S
3182;114;SP;19.612.763,90;S
3182;520;RJ;219.438,70;S
3182;531;SP;6.109.284,60;S
3182;542;SP;593.854,80;S
3182;553;SP;1.672.390,80;S
3182;628;MT;31.589,60;S
3263;171;SP;5.269.684,20;S
3263;531;SP;1.834.062,10;S
3263;553;SP;107.593,80;S
3271;588;SP;421.291.660,80;S
3298;994;SP;1.300.508,90;S
3298;1383;SP;4.155.481,50;S
3298;1392;SP;8.765.303,30;S
3328;748;SP;3.470.901,60;S
3328;749;SP;2.197.831,30;S
3387;114;PR;29.550,30;S
3387;993;PR;15.946,60;S
3476;114;RS;1.464.705,20;S
3476;1061;DF;15.596,00;S
3531;171;BA;70.814,00;S
3531;195;BA;198.709,10;S
3531;1377;MG;183.412,60;S
3531;1601;MG;295.011,00;S
3531;1602;MG;368.383,00;S
3646;167;SP;24.203.016,70;S
3646;171;SP;1.107.347,40;S
3646;195;SP;365.808,50;S
3646;351;SP;75.571,40;S
3646;378;DF;201.250,00;S
3646;623;SP;43.969,80;S
3646;628;SP;30.668,80;S
3646;654;SP;20.111,30;S
3646;655;SP;14.249,40;S
3646;746;SP;75.066,10;S
3646;775;SP;6.249.977,80;S
3646;776;SP;17.706,20;S
3646;929;SP;30.744,20;S
3646;982;SP;52.259,10;S
3646;1101;SP;2.612.138,30;S
3646;1329;SP;28.584,40;S
3646;1381;SP;12.477,70;S
3646;1390;SP;3.010.709,90;S
3646;1734;SP;16.455.815,50;S
3646;1872;SP;37.390.916,90;S
3654;977;MG;705.068,20;S
3654;1198;MG;215.368,20;S
3654;1384;MG;18.467,70;S
3654;1391;MG;20.448,20;S
3671;171;RJ;24.107,60;S
3671;520;RJ;17.652,70;S
3671;524;SC;87.429,00;S
3671;526;TO;22.514,20;S
3671;531;RJ;278.966,20;S
3671;542;RJ;257.754,00;S
3671;711;SP;16.306,60;S
3671;977;SP;2.215.093,50;S
3671;1065;SP;213.337,50;S
3727;118;SP;1.407.010,20;S
3727;141;SP;61.793,00;S
3727;167;SP;468.241,00;S
3727;310;SP;479.746,80;S
3727;313;SP;18.472,30;S
3727;351;SP;682.508,10;S
3727;378;SP;271.508,90;S
3794;711;SP;188.291,10;S
3794;993;SP;249.050,00;S
3794;1377;PR;77.928,30;S
4031;1392;SP;10.000.000,00;S
4111;542;RJ;36.313,90;S
4111;775;DF;623.905,00;S
4111;776;RN;270.148,00;S
4251;929;RJ;660.557,80;S
4251;982;RJ;2.419.975,30;S
4251;984;RJ;414.238,80;S
4251;987;RJ;97.480,50;S
4251;990;RS;791.598,00;S
4251;993;RJ;1.436.977,60;S
4251;1381;SP;24.351,50;S
4359;748;SP;2.297.851,10;S
4359;749;SP;210.009,80;S
4359;775;SP;2.907.164,10;S
4367;929;SP;59.132,70;S
4367;969;DF;102.006,30;S
4367;980;SP;151.659,50;S
4367;982;SP;1.305.598,00;S
4367;990;SP;12.223,90;S
